30.30	31.28	30.79
30.30	30.79	32.26
29.81	32.26	32.26
30.79	32.26	32.26
32.75	32.75	32.26
31.28	32.75	32.26
33.24	33.72	32.26
32.26	33.72	32.26
33.72	34.21	32.26
32.75	34.21	32.26
33.72	34.70	31.77
33.72	34.70	31.28
33.72	34.70	30.79
33.72	35.19	32.26
34.70	35.68	32.75
34.21	35.19	32.26
35.19	36.17	32.26
35.19	36.17	32.26
34.70	35.68	32.26
35.68	35.68	32.26
36.17	37.15	32.75
35.68	36.66	33.72
36.17	36.66	33.24
36.17	36.66	34.21
36.17	37.15	34.21
36.66	37.15	35.19
37.15	37.63	34.70
36.66	37.63	34.70
38.61	37.63	35.19
37.15	37.63	35.19
38.12	37.63	35.68
37.63	37.63	35.68
38.12	38.12	35.68
37.63	38.12	36.17
38.12	38.12	36.17
38.12	38.12	36.17
38.61	38.61	35.68
38.61	38.61	36.17
38.61	38.61	36.66
38.61	38.61	37.15
39.59	39.10	37.15
39.10	38.61	37.15
39.10	39.10	37.63
39.10	39.10	37.63
39.10	39.10	37.63
39.59	39.10	38.12
39.59	39.59	38.12
39.59	39.10	38.12
39.10	39.59	38.61
40.08	39.59	38.61
39.10	40.08	38.61
40.08	39.59	38.61
39.59	40.08	38.12
40.57	39.59	38.61
40.08	40.08	38.61
40.57	39.59	39.10
40.57	39.59	38.12
41.06	40.08	39.10
40.57	40.57	39.10
41.54	43.01	39.10
40.57	40.57	39.59
41.54	40.08	39.10
41.54	40.57	40.08
41.06	40.08	39.59
41.54	40.57	38.61
41.54	42.03	39.59
41.06	40.57	39.59
41.54	41.54	39.59
41.06	40.57	39.59
42.52	41.54	40.08
42.03	41.06	40.08
42.03	41.54	40.08
41.54	41.06	40.08
42.03	41.06	40.08
42.03	41.06	40.08
42.03	41.54	39.59
42.52	41.06	40.57
42.52	41.54	40.08
42.03	41.06	40.08
41.54	42.03	40.57
42.03	40.08	40.57
42.52	40.57	40.57
45.45	40.08	40.57
43.01	41.06	40.57
42.52	41.06	40.57
42.52	41.54	40.57
43.01	41.54	41.06
42.52	42.03	41.06
42.03	41.54	41.06
42.52	41.06	40.08
43.01	41.54	41.06
42.03	42.03	41.06
42.03	41.54	41.06
43.50	42.03	41.54
43.50	41.54	41.06
42.52	42.03	41.06
43.50	42.03	41.06
43.01	42.52	42.52
43.50	41.54	41.54
43.01	42.03	41.06
43.50	42.03	41.54
43.50	42.03	41.54
43.50	42.03	41.54
44.97	42.52	41.54
43.50	42.03	42.03
44.97	42.52	41.54
43.50	42.03	41.54
44.97	42.52	41.54
43.99	42.03	42.03
44.48	42.52	41.54
43.99	41.06	42.03
43.50	42.52	42.03
43.99	42.52	42.03
44.48	42.52	42.52
43.99	42.03	42.03
44.97	43.01	42.03
44.48	43.01	42.03
44.48	42.52	42.03
44.48	42.52	42.03
44.48	43.01	42.52
44.48	42.52	42.03
44.97	43.50	42.52
45.45	43.01	42.03
44.97	43.01	42.52
44.48	43.01	42.52
44.97	43.01	42.52
44.48	43.01	42.03
44.48	43.01	42.52
44.97	42.52	43.01
44.97	43.50	43.01
44.48	43.01	42.52
44.97	43.01	42.52
44.97	43.01	42.52
44.97	43.50	42.52
44.97	43.01	43.01
44.97	41.54	42.03
44.97	43.50	42.52
44.97	43.50	42.52
44.97	43.50	42.52
44.97	43.50	42.52
44.97	43.50	42.52
44.97	43.50	42.52
44.97	43.50	43.01
44.97	43.01	43.01
44.97	43.50	43.01
44.97	43.50	43.01
44.97	44.48	43.01
45.45	43.50	43.01
45.45	43.50	43.01
43.99	43.99	43.01
45.45	44.48	43.01
44.97	43.99	43.01
45.45	44.97	43.01
45.45	43.99	43.50
45.45	44.97	43.50
45.94	43.50	43.50
45.45	44.48	43.50
45.94	44.48	43.50
45.94	44.48	43.50
45.94	43.99	43.50
45.45	43.99	43.50
44.48	43.99	43.50
45.45	44.48	43.50
44.48	43.99	43.50
45.45	45.45	43.99
44.97	43.99	43.99
45.94	43.99	43.99
45.45	43.99	43.50
45.94	44.48	43.01
45.94	43.99	43.50
45.94	44.48	43.50
45.94	43.99	43.01
45.94	44.48	43.99
45.94	43.01	43.99
46.43	44.48	43.50
45.94	43.50	43.99
45.94	44.48	43.99
45.94	43.50	43.99
45.94	44.97	43.99
45.94	43.99	44.97
46.43	43.99	43.99
45.94	43.99	44.48
46.92	44.48	43.99
46.43	43.50	43.99
46.43	44.97	43.99
46.43	44.48	43.99
46.43	44.48	44.48
46.43	44.48	43.99
46.43	44.97	43.99
46.43	44.48	43.99
46.92	44.97	43.99
46.43	44.48	44.48
46.43	44.97	44.97
46.43	44.48	44.48
46.43	44.97	44.48
46.43	44.48	44.48
46.92	44.48	44.48
46.43	44.48	44.48
46.43	44.97	44.48
46.43	44.97	44.48
46.92	44.97	46.43
46.43	44.48	44.48
46.43	44.48	44.48
46.92	44.48	44.48
46.92	45.45	44.48
46.43	45.45	44.48
45.45	44.97	45.45
46.92	44.97	44.48
46.92	45.45	44.48
46.92	44.97	44.48
47.41	45.45	44.97
46.92	44.48	44.48
46.92	44.97	44.48
46.92	44.97	45.94
46.43	44.97	44.97
